1 2 3 4 5 6 7 8 9 10 11 12
-536 -924 399 1179 127 882 -1 -744 123 -840 1071 -228
-540 -931 402 1188 128 889 630 -750 124 -847 1080 -230
-544 -938 405 1197 129 896 635 -756 125 -854 -1 -232
-548 -945 408 1206 130 903 640 -762 126 -861 1089 -234
-552 -952 -1 1215 131 910 645 -768 127 -868 1098 -236
-556 -959 411 1224 132 917 650 -774 128 -875 1107 -238
-560 -966 414 1233 133 924 655 -780 129 -882 -1 -240
-564 -973 417 1242 -1 931 660 -786 130 -889 1116 -242
-568 -980 420 1251 134 938 665 -792 131 -896 1125 -244
-572 -987 423 1260 135 945 670 -1 132 -903 1134 -246
-576 -994 426 1269 136 952 675 -798 -1 -910 1143 -248
-580 -1001 429 1278 137 959 680 -804 133 -917 1152 -250
-584 -1008 432 -1 138 966 685 -810 134 -924 1161 -252
-588 -1015 435 1287 139 973 690 -816 -1 -931 1170 -254
-592 -1022 438 1296 140 980 695 -822 135 -938 1179 -256
-596 -1029 441 1305 141 987 700 -828 136 -945 1188 -258
-600 -1036 444 1314 142 994 705 -834 137 -952 1197 -260
-604 -1043 447 -1 143 1001 710 -1 -1 -959 1206 -262
-608 -1050 450 1323 144 1008 715 -840 138 -966 1215 -1
-612 -1057 -1 1332 145 1015 720 -846 139 -1 1224 -264
-616 -1064 453 1341 -1 1022 725 -852 140 -973 1233 -266
-620 -1071 456 1350 146 1029 730 -858 141 -980 1242 -268
-624 -1078 459 1359 147 1036 735 -864 142 -987 1251 -270
-628 -1085 462 1368 148 1043 740 -870 143 -994 1260 -272
-632 -1092 465 1377 -1 1050 745 -876 144 -1001 1269 -1
-636 -1099 468 1386 149 1057 750 -882 145 -1008 1278 -274
-640 -1106 471 1395 150 1064 755 -888 146 -1015 1287 -276
-644 -1113 474 1404 151 -1 760 -894 147 -1022 1296 -278
-648 -1120 477 1413 152 1071 765 -1 148 -1029 -1 -280
-652 -1127 480 1422 153 1078 770 -900 149 -1036 1305 -282
-656 -1134 483 1431 154 1085 775 -906 150 -1043 1314 -284
-660 -1141 486 1440 155 1092 780 -912 151 -1050 1323 -286
-664 -1148 489 1449 156 1099 785 -918 152 -1057 1332 -288
-668 -1155 492 1458 157 1106 790 -924 153 -1064 1341 -290
-672 -1162 495 1467 158 1113 795 -930 154 -1071 1350 -292
-676 -1169 498 1476 159 1120 800 -936 155 -1078 1359 -294
-680 -1176 501 1485 160 1127 805 -942 156 -1085 1368 -296
-684 -1183 504 1494 161 1134 810 -948 157 -1092 1377 -298
-688 -1190 507 1503 162 1141 815 -954 158 -1099 -1 -300
-692 -1197 510 1512 163 1148 820 -960 159 -1106 1386 -302
-696 -1204 513 1521 164 1155 825 -966 -1 -1113 1395 -304
-700 -1211 516 1530 165 1162 830 -1 160 -1 1404 -306
-704 -1218 519 1539 166 1169 835 -972 -1 -1120 1413 -1
-708 -1225 522 1548 167 1176 840 -978 161 -1127 1422 -308
-712 -1232 525 1557 168 1183 845 -984 162 -1134 -1 -310
-716 -1239 528 1566 -1 1190 850 -990 163 -1141 1431 -312
-720 -1246 531 1575 169 1197 855 -996 164 -1 1440 -1
-724 -1253 534 1584 170 1204 860 -1002 165 -1148 1449 -314
-728 -1260 537 1593 171 1211 865 -1008 166 -1155 1458 -316
-732 -1267 540 1602 172 1218 870 -1014 167 -1162 1467 -318
-736 -1274 543 1611 173 1225 875 -1020 168 -1169 1476 -320
-740 -1281 546 1620 174 -1 880 -1026 169 -1176 1485 -322
-744 -1288 549 1629 175 -1 885 -1032 170 -1183 1494 -324
-748 -1295 552 1638 176 1232 890 -1038 171 -1190 1503 -326
-752 -1302 555 1647 177 1239 895 -1044 172 -1197 1512 -328
-756 -1309 558 1656 178 1246 900 -1050 173 -1204 1521 -330
-760 -1316 561 1665 179 1253 905 -1056 174 -1211 1530 -332
-764 -1323 564 1674 180 1260 910 -1062 175 -1218 1539 -334
-768 -1330 567 1683 181 1267 -1 -1068 176 -1225 1548 -336
-772 -1337 570 -1 182 1274 915 -1074 177 -1232 1557 -338
-776 -1344 573 1692 183 1281 920 -1080 178 -1239 1566 -340
-780 -1351 576 1701 184 1288 925 -1086 179 -1246 1575 -1
-784 -1358 579 1710 185 1295 -1 -1092 180 -1253 1584 -1
-788 -1365 582 1719 186 -1 930 -1098 181 -1260 1593 -342
-792 -1372 585 1728 187 1302 935 -1104 182 -1267 1602 -1
-796 -1379 588 1737 188 1309 940 -1110 183 -1274 1611 -344
-800 -1386 591 1746 189 1316 945 -1116 -1 -1281 1620 -346
-804 -1393 -1 1755 190 1323 950 -1122 184 -1288 1629 -348
-808 -1400 594 1764 191 1330 955 -1128 185 -1295 1638 -350
-812 -1407 597 1773 192 1337 960 -1134 186 -1302 1647 -352
-816 -1414 600 1782 193 1344 965 -1140 187 -1309 1656 -354
-820 -1421 603 1791 194 1351 970 -1146 188 -1316 1665 -356
-824 -1428 606 1800 195 1358 975 -1152 189 -1323 1674 -358
-828 -1435 609 1809 196 1365 980 -1158 190 -1330 1683 -360
-832 -1442 612 1818 197 1372 985 -1164 -1 -1337 1692 -362
-836 -1449 615 1827 198 1379 990 -1170 191 -1344 1701 -364
-840 -1456 618 1836 199 1386 995 -1176 192 -1 -1 -366
-844 -1463 621 1845 200 1393 1000 -1182 193 -1351 1710 -368
-848 -1470 624 1854 201 1400 1005 -1188 194 -1358 1719 -370
-852 -1477 627 1863 202 1407 1010 -1194 195 -1365 1728 -372
-856 -1484 630 1872 203 1414 1015 -1200 196 -1372 1737 -1
-860 -1491 633 1881 204 1421 1020 -1206 -1 -1379 1746 -374
-864 -1498 636 1890 205 1428 1025 -1212 197 -1386 1755 -376
-868 -1505 639 1899 206 1435 1030 -1218 198 -1393 1764 -1
-872 -1512 -1 1908 207 1442 1035 -1224 199 -1400 1773 -378
-876 -1519 642 1917 208 1449 1040 -1230 200 -1407 1782 -1
-880 -1526 645 1926 209 1456 1045 -1236 201 -1 1791 -380
-884 -1533 648 1935 210 1463 1050 -1242 202 -1414 -1 -382
-888 -1540 651 1944 211 1470 1055 -1 203 -1 1800 -384
-892 -1547 654 1953 212 1477 1060 -1248 204 -1421 1809 -386
-896 -1554 657 1962 213 1484 1065 -1254 205 -1428 1818 -388
-900 -1561 660 1971 214 1491 1070 -1260 206 -1435 1827 -390
-904 -1568 663 1980 215 1498 1075 -1266 207 -1442 1836 -392
-908 -1575 666 1989 216 1505 1080 -1272 208 -1449 1845 -394
-912 -1582 669 1998 217 1512 1085 -1278 209 -1456 1854 -396
-916 -1589 672 2007 218 1519 1090 -1 210 -1 1863 -398
-920 -1596 675 2016 219 1526 1095 -1284 211 -1463 1872 -400
-924 -1603 678 2025 220 1533 1100 -1290 212 -1470 1881 -402
-928 -1610 681 -1 221 1540 1105 -1296 213 -1477 1890 -404
-932 -1617 684 2034 -1 1547 1110 -1302 214 -1484 1899 -1
-936 -1624 687 2043 222 1554 1115 -1308 215 -1491 1908 -406
-940 -1631 690 2052 223 1561 -1 -1 -1 -1498 1917 -408
-944 -1638 693 2061 -1 1568 1120 -1314 216 -1505 1926 -410
-948 -1645 696 2070 224 1575 1125 -1320 -1 -1512 1935 -412
-952 -1652 699 2079 225 1582 1130 -1326 217 -1519 1944 -414
-956 -1659 702 2088 226 1589 1135 -1332 218 -1526 1953 -416
-960 -1666 705 2097 227 1596 1140 -1338 219 -1533 1962 -418
-964 -1673 708 2106 228 1603 1145 -1 -1 -1540 1971 -1
-968 -1680 711 2115 229 1610 1150 -1344 220 -1547 1980 -420
-972 -1687 714 2124 230 1617 1155 -1350 221 -1554 1989 -422
-976 -1694 717 2133 231 -1 1160 -1356 -1 -1561 1998 -424
-980 -1701 720 2142 232 1624 1165 -1362 222 -1568 2007 -426
-984 -1708 723 2151 233 -1 1170 -1368 223 -1575 2016 -1
-988 -1715 726 2160 234 1631 1175 -1374 224 -1582 2025 -428
-992 -1722 729 2169 235 1638 1180 -1380 225 -1 2034 -430
-996 -1729 732 2178 236 1645 -1 -1386 226 -1589 -1 -432
